"Id","MSZoning","LotArea","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","MasVnrType","MasVnrArea","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","TotalBsmtSF","HeatingQC","Electrical","2ndFlrSF","GrLivArea","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageQual","GarageCond","PavedDrive","PoolQC","SaleCondition","SalePrice","stFlrSF","Baths"
219,"RL",15660,"Corner","Gtl","Crawfor","Norm","Norm","1Fam","1.5Fin","7","9",1939,2006,"Gable","CompShg","BrkFace",312,"TA","TA","No","BLQ",341,"Unf",798,"Ex","SBrkr",817,1954,"Gd",8,"Typ",2,"TA","Attchd","Unf",2,"TA","TA","Y","None","Normal",311500,1137,2
220,"RL",3010,"Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story","7","5",2005,2006,"Gable","CompShg","BrkFace",16,"Gd","TA","Av","GLQ",16,"Unf",1248,"Ex","SBrkr",0,1248,"Gd",5,"Typ",0,"None","Attchd","Fin",2,"TA","TA","Y","None","Partial",167240,1248,2
221,"RL",8990,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","7","5",2006,2006,"Gable","CompShg","None",0,"Gd","TA","Mn","Unf",0,"Unf",1498,"Ex","SBrkr",0,1498,"Gd",5,"Typ",0,"None","Attchd","RFn",2,"TA","TA","Y","None","Partial",204900,1498,2
222,"RL",8068,"Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5",2002,2002,"Gable","CompShg","None",0,"Gd","TA","No","Unf",0,"Unf",1010,"Ex","SBrkr",1257,2267,"Gd",8,"Typ",1,"TA","BuiltIn","RFn",2,"TA","TA","Y","None","Normal",2e+05,1010,2.5
223,"RL",11475,"Inside","Gtl","NWAmes","RRAn","Norm","1Fam","2Story","6","6",1975,1975,"Gable","CompShg","None",0,"Gd","TA","No","ALQ",550,"Unf",713,"TA","SBrkr",741,1552,"TA",6,"Typ",1,"TA","Attchd","RFn",2,"TA","TA","Y","None","Normal",179900,811,3.5
224,"RL",10500,"FR2","Gtl","NAmes","Norm","Norm","1Fam","1Story","4","6",1971,1971,"Gable","CompShg","None",0,"TA","TA","No","ALQ",524,"LwQ",864,"Gd","SBrkr",0,864,"TA",4,"Typ",0,"None","Detchd","Unf",2,"TA","TA","Y","None","Abnorml",97000,864,1
225,"RL",13472,"Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story","10","5",2003,2003,"Hip","CompShg","BrkFace",922,"Ex","TA","Gd","GLQ",56,"Unf",2392,"Ex","SBrkr",0,2392,"Ex",8,"Typ",1,"Ex","Attchd","Fin",3,"TA","TA","Y","None","Normal",386250,2392,2
226,"RM",1680,"Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story","5","5",1971,1971,"Gable","CompShg","BrkFace",142,"TA","TA","No","Unf",0,"Unf",630,"TA","SBrkr",672,1302,"TA",6,"Typ",0,"None","Detchd","Unf",1,"TA","TA","Y","None","Abnorml",112000,630,2.5
227,"RL",9950,"Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story","7","5",1995,1995,"Gable","CompShg","BrkFace",290,"Gd","TA","No","GLQ",565,"Unf",1203,"Ex","SBrkr",1306,2520,"Gd",9,"Typ",1,"TA","Attchd","RFn",3,"TA","TA","Y","None","Abnorml",290000,1214,2.5
228,"RM",1869,"Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story","6","6",1970,1970,"Gable","CompShg","BrkFace",127,"TA","TA","No","Rec",321,"Unf",483,"TA","SBrkr",504,987,"TA",5,"Typ",0,"None","Detchd","Unf",1,"TA","TA","Y","None","Normal",106000,483,1.5
229,"RL",8521,"FR2","Gtl","Sawyer","Feedr","Norm","1Fam","1Story","5","5",1967,1967,"Gable","CompShg","None",0,"TA","TA","No","ALQ",842,"Unf",912,"TA","SBrkr",0,912,"TA",5,"Typ",1,"Fa","Detchd","Unf",1,"TA","TA","Y","None","Normal",125000,912,1
230,"RL",3182,"Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story","7","5",2005,2006,"Gable","CompShg","BrkFace",16,"Gd","TA","Av","GLQ",16,"Unf",1373,"Ex","SBrkr",0,1555,"Gd",7,"Typ",1,"TA","Attchd","Fin",2,"TA","TA","Y","None","Normal",192500,1555,2
231,"RL",8760,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","6",1959,1959,"Hip","CompShg","BrkFace",220,"TA","TA","No","Unf",0,"Unf",1194,"TA","SBrkr",0,1194,"TA",6,"Typ",0,"None","Attchd","RFn",1,"TA","TA","Y","None","Normal",148000,1194,2
232,"RL",15138,"Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story","8","5",1995,1996,"Gable","CompShg","BrkFace",506,"Gd","TA","No","GLQ",689,"Unf",1462,"Ex","SBrkr",1304,2794,"Ex",9,"Typ",1,"TA","Attchd","Fin",3,"TA","TA","Y","None","Normal",403000,1490,3.5
233,"RM",1680,"Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story","6","5",1972,1972,"Gable","CompShg","BrkFace",297,"TA","TA","No","Unf",0,"Unf",483,"TA","SBrkr",504,987,"TA",5,"Typ",1,"Po","Attchd","Unf",1,"TA","TA","Y","None","Normal",94500,483,1.5
234,"RL",10650,"Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story","5","6",1976,1976,"Gable","CompShg","None",0,"TA","Gd","Av","LwQ",182,"ALQ",894,"TA","SBrkr",0,894,"TA",5,"Typ",0,"None","Attchd","Unf",1,"TA","TA","Y","None","Normal",128200,894,2
235,"RL",7851,"Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5",2002,2002,"Gable","CompShg","None",0,"Gd","TA","No","GLQ",625,"Unf",860,"Ex","SBrkr",1100,1960,"Gd",8,"Typ",2,"TA","BuiltIn","Fin",2,"TA","TA","Y","None","Normal",216500,860,3.5
236,"RM",1680,"Inside","Gtl","BrDale","Norm","Norm","TwnhsE","2Story","6","3",1971,1971,"Gable","CompShg","BrkFace",604,"TA","TA","No","ALQ",358,"Unf",483,"TA","SBrkr",504,987,"TA",5,"Typ",0,"None","Detchd","Unf",1,"TA","TA","Y","None","Normal",89500,483,1.5
237,"RL",8773,"FR2","Gtl","CollgCr","Norm","Norm","1Fam","1Story","7","5",2004,2004,"Gable","CompShg","BrkFace",98,"Gd","TA","Av","GLQ",24,"Unf",1414,"Ex","SBrkr",0,1414,"Gd",6,"Typ",0,"None","Attchd","RFn",2,"TA","TA","Y","None","Normal",185500,1414,2
238,"RL",9453,"CulDSac","Gtl","SawyerW","RRNe","Norm","1Fam","2Story","7","7",1993,2003,"Gable","CompShg","None",0,"Gd","TA","No","BLQ",402,"Unf",996,"Ex","SBrkr",730,1744,"Gd",7,"Typ",0,"None","Attchd","RFn",2,"TA","TA","Y","None","Normal",194500,1014,2.5
239,"RL",12030,"Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story","8","5",2007,2007,"Hip","CompShg","BrkFace",254,"Ex","TA","No","Unf",0,"Unf",1694,"Ex","SBrkr",0,1694,"Gd",7,"Typ",0,"None","Attchd","Fin",3,"TA","TA","Y","None","Partial",318000,1694,2
240,"RL",8741,"Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin","6","4",1945,1950,"Gable","CompShg","None",0,"TA","Fa","No","LwQ",94,"Unf",735,"TA","FuseA",689,1487,"TA",7,"Typ",1,"Gd","Detchd","Unf",1,"TA","TA","Y","None","Normal",113000,798,1.5
241,"FV",9000,"Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5",2008,2008,"Gable","CompShg","Stone",36,"Gd","TA","Av","GLQ",1078,"Unf",1566,"Ex","SBrkr",0,1566,"Gd",7,"Typ",0,"None","Attchd","RFn",2,"TA","TA","Y","None","Normal",262500,1566,3
242,"RM",3880,"Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story","5","9",1945,1997,"Gable","CompShg","None",0,"TA","TA","No","ALQ",329,"Unf",686,"Gd","SBrkr",0,866,"Gd",4,"Typ",0,"None","None","None",0,"None","None","Y","None","Normal",110500,866,1
243,"RM",5000,"Corner","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin","5","4",1900,1950,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",540,"Gd","FuseA",551,1440,"TA",6,"Typ",0,"None","Attchd","Unf",1,"Fa","TA","Y","None","Normal",79000,889,1
244,"RL",10762,"Corner","Gtl","SawyerW","Norm","Norm","TwnhsE","2Story","6","6",1980,1980,"Gable","CompShg","None",0,"Gd","TA","No","Unf",0,"Unf",626,"TA","SBrkr",591,1217,"TA",6,"Typ",1,"TA","Attchd","RFn",1,"TA","TA","Y","None","Normal",120000,626,1.5
245,"RL",8880,"Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story","7","5",1994,2002,"Gable","CompShg","None",0,"Gd","TA","No","GLQ",695,"Unf",948,"Ex","SBrkr",888,2110,"Gd",8,"Typ",2,"Fa","Attchd","RFn",2,"TA","TA","Y","None","Normal",205000,1222,3.5
246,"RL",10400,"Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story","7","5",1988,1988,"Gable","CompShg","BrkFace",102,"Gd","TA","Av","GLQ",929,"Unf",1845,"Gd","SBrkr",0,1872,"TA",6,"Typ",1,"TA","Attchd","Fin",2,"TA","TA","Y","None","Normal",241500,1872,2.5
247,"RM",9142,"Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story","6","8",1910,1950,"Gable","CompShg","None",0,"Fa","TA","No","Unf",0,"Unf",1020,"Gd","FuseP",1020,1928,"Fa",9,"Typ",0,"None","Detchd","Unf",1,"Po","Po","Y","None","Normal",137000,908,2
248,"RL",11310,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","5",1954,1954,"Hip","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",1367,"Ex","SBrkr",0,1375,"TA",5,"Typ",1,"TA","Attchd","Unf",2,"TA","TA","Y","None","Normal",140000,1375,1
249,"RL",11317,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","7","5",2003,2003,"Gable","CompShg","BrkFace",101,"Gd","TA","No","Unf",0,"Unf",840,"Ex","SBrkr",828,1668,"Gd",8,"Typ",0,"None","Attchd","RFn",2,"TA","TA","Y","None","Normal",180000,840,2.5
250,"RL",159000,"CulDSac","Sev","ClearCr","Norm","Norm","1Fam","1.5Fin","6","7",1958,2006,"Gable","CompShg","BrkCmn",472,"Gd","TA","Gd","Rec",697,"Unf",1444,"Gd","SBrkr",700,2144,"Gd",7,"Typ",2,"TA","Attchd","Fin",2,"TA","TA","Y","None","Normal",277000,1444,2.5
251,"RL",5350,"Inside","Gtl","BrkSide","Norm","Norm","1Fam","1Story","3","2",1940,1966,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",728,"Ex","SBrkr",0,1306,"Fa",6,"Mod",0,"None","None","None",0,"None","None","Y","None","Normal",76500,1306,1
252,"RM",4750,"Inside","Mod","Crawfor","Norm","Norm","TwnhsE","1Story","8","5",2006,2007,"Hip","CompShg","Stone",481,"Gd","TA","Gd","GLQ",1573,"Unf",1573,"Ex","SBrkr",0,1625,"Gd",5,"Typ",1,"Gd","Attchd","Fin",2,"TA","TA","Y","None","Family",235000,1625,3.5
253,"RL",8366,"Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story","6","5",2004,2004,"Gable","CompShg","None",0,"Gd","TA","No","Unf",0,"Unf",798,"Ex","SBrkr",842,1640,"Gd",6,"Typ",0,"None","Attchd","RFn",2,"TA","TA","Y","None","Normal",173000,798,2.5
254,"RL",9350,"Inside","Gtl","NAmes","Norm","Norm","1Fam","SLvl","6","7",1964,1991,"Hip","CompShg","BrkFace",108,"Gd","TA","Gd","LwQ",270,"ALQ",1302,"Ex","SBrkr",0,1302,"Gd",7,"Min1",0,"None","Attchd","RFn",1,"TA","TA","Y","None","Normal",158000,1302,2.5
255,"RL",8400,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","6",1957,1957,"Gable","CompShg","None",0,"TA","TA","No","Rec",922,"Unf",1314,"TA","SBrkr",0,1314,"TA",5,"Typ",0,"None","Attchd","RFn",1,"TA","TA","Y","None","Normal",145000,1314,2
256,"RL",8738,"Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","7","5",1999,1999,"Gable","CompShg","BrkFace",302,"Gd","TA","No","Unf",0,"Unf",975,"Ex","SBrkr",1286,2291,"Gd",8,"Typ",1,"TA","BuiltIn","Fin",2,"TA","TA","Y","None","Normal",230000,1005,2.5
257,"FV",8791,"Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","6","5",2003,2003,"Gable","CompShg","None",0,"Gd","TA","No","Rec",503,"Unf",864,"Ex","SBrkr",864,1728,"Gd",7,"Typ",0,"None","Attchd","RFn",2,"TA","TA","Y","None","Normal",207500,864,2.5
258,"RL",8814,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","7","5",2006,2006,"Gable","CompShg","Stone",180,"Gd","TA","No","GLQ",1334,"Unf",1604,"Ex","SBrkr",0,1604,"Gd",8,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA","Y","None","Abnorml",220000,1604,3.5
259,"RL",12435,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","7","5",2001,2001,"Gable","CompShg","BrkFace",172,"Gd","TA","No","GLQ",361,"Unf",963,"Ex","SBrkr",829,1792,"Gd",7,"Typ",1,"TA","Attchd","RFn",2,"TA","TA","Y","None","Normal",231500,963,2.5
260,"RM",12702,"Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story","5","5",1956,1956,"Gable","CompShg","None",0,"None","None","None","None",0,"None",0,"Gd","FuseA",0,882,"TA",4,"Typ",0,"None","Detchd","Unf",1,"TA","TA","Y","None","Normal",97000,882,1
261,"RL",19296,"Corner","Gtl","NAmes","Artery","Norm","1Fam","SLvl","6","5",1962,1962,"Gable","CompShg","BrkFace",399,"TA","TA","Gd","Rec",672,"ALQ",1362,"TA","SBrkr",0,1382,"TA",6,"Typ",1,"TA","Attchd","Unf",2,"TA","TA","Y","None","Normal",176000,1382,2
262,"RL",9588,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","8","5",2007,2007,"Gable","CompShg","Stone",270,"Ex","TA","No","Unf",0,"Unf",1482,"Ex","SBrkr",1092,2574,"Ex",10,"Typ",1,"Gd","BuiltIn","Fin",3,"TA","TA","Y","None","Partial",276000,1482,2.5
263,"RL",8471,"Corner","Gtl","Sawyer","Norm","Norm","1Fam","SLvl","6","7",1977,1995,"Gable","CompShg","BrkFace",46,"Gd","Gd","Av","ALQ",506,"Unf",506,"TA","SBrkr",0,1212,"TA",6,"Typ",1,"TA","Attchd","Unf",2,"TA","TA","Y","None","Normal",151000,1212,2
264,"RM",5500,"Corner","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin","5","7",1929,2001,"Gable","CompShg","None",0,"TA","TA","No","LwQ",234,"ALQ",926,"TA","SBrkr",0,1316,"TA",6,"Typ",0,"None","Detchd","Unf",2,"TA","TA","Y","None","Normal",130000,926,2
265,"RM",5232,"Inside","Gtl","OldTown","Artery","Norm","1Fam","1Story","5","5",1925,2004,"Gable","CompShg","None",0,"Fa","TA","No","Unf",0,"Unf",680,"Gd","FuseP",0,764,"TA",4,"Typ",0,"None","Detchd","Unf",2,"TA","TA","N","None","Normal",73000,764,1
266,"RL",12090,"Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story","6","6",1981,1981,"Gable","CompShg","BrkFace",210,"Gd","TA","No","GLQ",588,"LwQ",1422,"TA","SBrkr",0,1422,"Gd",7,"Typ",1,"TA","Attchd","Fin",2,"TA","TA","Y","None","Normal",175500,1422,2
267,"RL",11207,"FR2","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5",1997,1997,"Gable","CompShg","None",0,"Gd","TA","Av","GLQ",714,"Unf",802,"Gd","SBrkr",709,1511,"TA",8,"Typ",1,"TA","Attchd","Fin",2,"TA","TA","Y","None","Normal",185000,802,3.5
268,"RL",8400,"Inside","Mod","SWISU","Norm","Norm","1Fam","2.5Fin","5","8",1939,1997,"Gable","CompShg","None",0,"TA","TA","No","LwQ",378,"Unf",720,"Ex","SBrkr",720,2192,"Gd",8,"Typ",1,"Gd","Detchd","Unf",1,"TA","TA","Y","None","Normal",179500,1052,2.5
269,"RM",6900,"Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1Story","5","6",1940,1955,"Gable","CompShg","None",0,"TA","TA","No","ALQ",403,"Rec",740,"Ex","SBrkr",0,778,"TA",4,"Typ",1,"Gd","Detchd","Fin",1,"Ex","Ex","Y","None","Normal",120500,778,1
270,"RL",7917,"Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story","6","7",1976,1976,"Hip","CompShg","BrkFace",174,"TA","Gd","No","BLQ",751,"Unf",1143,"TA","SBrkr",0,1113,"TA",6,"Typ",1,"Fa","Attchd","RFn",1,"TA","Gd","Y","None","Normal",148000,1113,2.5
271,"FV",10728,"Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","8","5",2006,2006,"Gable","CompShg","None",0,"Gd","TA","Mn","Unf",0,"Unf",1095,"Gd","SBrkr",844,1939,"Gd",8,"Typ",1,"Gd","Attchd","RFn",3,"TA","TA","Y","None","Partial",266000,1095,2.5
272,"RL",39104,"CulDSac","Sev","ClearCr","Norm","Norm","1Fam","1Story","7","7",1954,2005,"Flat","Membran","None",0,"Gd","TA","Gd","LwQ",226,"GLQ",1385,"Ex","SBrkr",0,1363,"TA",5,"Mod",2,"TA","Attchd","Unf",2,"TA","TA","Y","None","Normal",241500,1363,2
273,"RL",11764,"CulDSac","Gtl","NoRidge","Norm","Norm","1Fam","2Story","8","7",1999,2007,"Gable","CompShg","BrkFace",348,"Gd","TA","No","GLQ",524,"Unf",1152,"Ex","SBrkr",1106,2270,"Gd",9,"Typ",1,"Gd","Attchd","Fin",3,"TA","TA","Y","None","Normal",290000,1164,2.5
274,"RL",9600,"Inside","Gtl","NAmes","Feedr","Norm","1Fam","1Story","6","6",1958,1988,"Hip","CompShg","BrkCmn",183,"TA","TA","No","Rec",620,"LwQ",1240,"Gd","SBrkr",0,1632,"TA",6,"Min1",1,"Gd","Attchd","RFn",1,"TA","TA","Y","None","Normal",139000,1632,3
275,"RL",8314,"Corner","Gtl","Mitchel","Norm","Norm","1Fam","1Story","5","7",1982,1982,"Gable","CompShg","None",0,"TA","TA","Gd","ALQ",546,"Unf",816,"TA","SBrkr",0,816,"TA",5,"Typ",0,"None","Attchd","Unf",1,"TA","TA","Y","None","Normal",124500,816,1
276,"RL",7264,"Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin","7","7",1925,2007,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",952,"Gd","SBrkr",596,1548,"Ex",5,"Typ",0,"None","Detchd","Unf",2,"TA","TA","Y","None","Normal",205000,952,2.5
277,"RL",9196,"Inside","Gtl","Mitchel","Norm","Norm","1Fam","1Story","7","5",2003,2003,"Gable","CompShg","None",0,"Ex","TA","No","Unf",0,"Unf",1560,"Ex","SBrkr",0,1560,"Gd",7,"Typ",0,"None","Attchd","Fin",2,"TA","TA","Y","None","Normal",201000,1560,2
278,"RL",19138,"Corner","Gtl","Gilbert","Norm","Norm","1Fam","1Story","4","5",1951,1951,"Gable","CompShg","None",0,"TA","TA","No","LwQ",120,"Unf",864,"Ex","SBrkr",0,864,"TA",4,"Typ",0,"None","Detchd","Unf",2,"TA","TA","Y","None","Normal",141000,864,1
279,"RL",14450,"Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story","9","5",2006,2007,"Gable","CompShg","BrkFace",315,"Ex","TA","Gd","Unf",0,"Unf",2121,"Ex","SBrkr",0,2121,"Ex",8,"Typ",1,"Ex","Attchd","Fin",3,"TA","TA","Y","None","Partial",415298,2121,2.5
280,"RL",10005,"Inside","Gtl","ClearCr","Norm","Norm","1Fam","2Story","7","5",1977,1977,"Hip","CompShg","BrkFace",299,"Gd","TA","No","BLQ",392,"Unf",1160,"Ex","SBrkr",866,2022,"TA",8,"Typ",1,"TA","Attchd","Fin",2,"TA","TA","Y","None","Normal",192000,1156,2.5
281,"RL",11287,"Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story","7","6",1989,1989,"Gable","CompShg","BrkFace",340,"Gd","TA","Av","GLQ",421,"Unf",807,"Gd","SBrkr",807,1982,"Gd",7,"Typ",1,"TA","Attchd","Fin",2,"TA","TA","Y","None","Normal",228500,1175,2.5
282,"FV",7200,"Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","6","5",2006,2006,"Gable","CompShg","Stone",68,"Gd","TA","No","GLQ",905,"Unf",1262,"Gd","SBrkr",0,1262,"Gd",5,"Typ",0,"None","Attchd","Fin",2,"TA","TA","Y","None","Partial",185000,1262,2
283,"RL",5063,"Inside","Gtl","NridgHt","Norm","Norm","Twnhs","1Story","7","5",2007,2008,"Gable","CompShg","Stone",166,"Gd","TA","No","GLQ",904,"Unf",1314,"Ex","SBrkr",0,1314,"Gd",6,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA","Y","None","Normal",207500,1314,3
284,"RL",9612,"Inside","Gtl","Somerst","Feedr","Norm","1Fam","1Story","8","5",2008,2009,"Gable","CompShg","Stone",72,"Gd","TA","No","Unf",0,"Unf",1468,"Ex","SBrkr",0,1468,"Gd",6,"Typ",1,"Gd","Attchd","Fin",3,"TA","TA","Y","None","Partial",244600,1468,2
285,"RL",8012,"Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story","6","5",1992,1992,"Gable","CompShg","None",0,"Gd","TA","No","GLQ",430,"Unf",1575,"Gd","SBrkr",0,1575,"Gd",5,"Typ",0,"None","Attchd","RFn",2,"TA","TA","Y","None","Normal",179200,1575,3
286,"FV",4251,"Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story","7","5",2006,2007,"Gable","CompShg","None",0,"Gd","TA","No","Unf",0,"Unf",625,"Ex","SBrkr",625,1250,"Gd",5,"Typ",0,"None","Detchd","RFn",2,"TA","TA","Y","None","Partial",164700,625,2.5
287,"RL",9786,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1.5Fin","6","7",1962,1981,"Gable","CompShg","None",0,"TA","TA","No","Rec",600,"Unf",912,"TA","SBrkr",649,1734,"Gd",7,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA","Y","None","Normal",159000,1085,1.5
288,"RL",8125,"Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","4","4",1971,1971,"Gable","CompShg","None",0,"TA","TA","No","BLQ",614,"Unf",858,"TA","SBrkr",0,858,"TA",5,"Typ",0,"None","None","None",0,"None","None","Y","None","Normal",88000,858,1
289,"RL",9819,"Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","5","5",1967,1967,"Gable","CompShg","BrkFace",31,"TA","TA","No","BLQ",450,"Unf",882,"TA","SBrkr",0,900,"TA",5,"Typ",0,"None","Detchd","Unf",1,"TA","TA","Y","None","Normal",122000,900,1
290,"RL",8730,"Inside","Gtl","BrkSide","RRAn","Norm","1Fam","2Story","6","7",1915,2003,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",698,"Ex","FuseA",698,1396,"TA",7,"Typ",0,"None","Detchd","Unf",1,"TA","TA","Y","None","Normal",153575,698,1
291,"RL",15611,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","8","5",2006,2006,"Gable","CompShg","None",0,"Gd","TA","Av","Unf",0,"Unf",1079,"Ex","SBrkr",840,1919,"Gd",8,"Typ",1,"Gd","Attchd","RFn",2,"Gd","TA","Y","None","Partial",233230,1079,2.5
292,"RL",5687,"Inside","Gtl","SWISU","Norm","Norm","2fmCon","2Story","5","6",1912,2000,"Gable","CompShg","None",0,"TA","Fa","No","Rec",210,"Unf",780,"Ex","SBrkr",780,1716,"Fa",9,"Typ",0,"None","None","None",0,"None","None","N","None","Normal",135900,936,3
293,"RL",11409,"Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin","5","4",1949,2008,"Gable","CompShg","None",0,"TA","TA","No","LwQ",292,"Unf",768,"Gd","SBrkr",568,1716,"TA",8,"Min2",1,"Gd","Attchd","Unf",1,"TA","TA","Y","None","Normal",131000,1148,1.5
294,"RL",16659,"Corner","Gtl","NWAmes","PosA","Norm","1Fam","2Story","7","7",1977,1994,"Gable","CompShg","BrkFace",34,"TA","TA","No","ALQ",795,"Unf",795,"Fa","SBrkr",795,2263,"Gd",9,"Typ",1,"TA","Attchd","Fin",2,"TA","TA","Y","None","Normal",235000,1468,3.5
295,"RL",9600,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","5",1953,1953,"Hip","CompShg","Stone",238,"TA","TA","No","GLQ",1285,"Unf",1416,"TA","SBrkr",0,1644,"TA",7,"Typ",2,"Gd","Attchd","Fin",2,"TA","TA","Y","None","Normal",167000,1644,2
296,"RL",7937,"CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","SLvl","6","6",1984,1984,"Gable","CompShg","None",0,"TA","TA","Av","GLQ",819,"Unf",1003,"TA","SBrkr",0,1003,"TA",6,"Typ",0,"None","Detchd","Unf",2,"TA","TA","Y","None","Normal",142500,1003,2
297,"RM",13710,"Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Fin","5","5",1950,1950,"Gable","CompShg","None",0,"TA","TA","No","BLQ",420,"Unf",910,"TA","FuseA",648,1558,"TA",6,"Typ",0,"None","Attchd","Unf",1,"TA","TA","Y","None","Normal",152000,910,1.5
298,"FV",7399,"Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","7","5",1997,1998,"Hip","CompShg","BrkFace",1600,"Gd","TA","No","BLQ",649,"Unf",975,"Ex","SBrkr",975,1950,"Gd",7,"Typ",1,"TA","Detchd","RFn",2,"TA","TA","Y","None","Normal",239000,975,2.5
299,"RL",11700,"Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story","6","6",1968,1968,"Mansard","CompShg","BrkFace",365,"TA","TA","No","ALQ",384,"Rec",702,"Gd","SBrkr",702,1743,"TA",7,"Typ",1,"Gd","Attchd","Unf",2,"TA","TA","Y","None","Normal",175000,1041,2.5
300,"RL",14000,"Inside","Gtl","Crawfor","Norm","Norm","1Fam","1Story","6","8",1950,2004,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",1092,"Ex","SBrkr",0,1152,"Gd",6,"Typ",1,"Gd","Attchd","Unf",1,"TA","TA","Y","None","Family",158500,1152,1.5
301,"RL",15750,"Corner","Gtl","Crawfor","Norm","Norm","2fmCon","1Story","5","5",1953,1953,"Hip","CompShg","BrkFace",56,"TA","TA","Mn","BLQ",841,"Unf",1165,"TA","SBrkr",0,1336,"TA",5,"Typ",2,"Gd","Attchd","Unf",1,"TA","TA","Y","None","Normal",157000,1336,2
302,"RL",16226,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","8","5",1998,1999,"Gable","CompShg","None",0,"Gd","TA","No","GLQ",281,"Unf",1028,"Ex","SBrkr",1242,2452,"Gd",9,"Typ",1,"TA","BuiltIn","Fin",2,"TA","TA","Y","None","Normal",267000,1210,2.5
303,"RL",13704,"Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story","7","5",2001,2002,"Gable","CompShg","BrkFace",150,"Gd","TA","No","Unf",0,"Unf",1541,"Ex","SBrkr",0,1541,"Gd",6,"Typ",1,"TA","Attchd","RFn",3,"TA","TA","Y","None","Normal",205000,1541,2
